t2,t3,t4,t5,t6,t7,t8,t11,t12,t13
PSZCZYNA,2020,1,1,2.4,-0.2,1,9,,0
PSZCZYNA,2020,1,2,4.4,-3.6,-0.5,9,,0
PSZCZYNA,2020,1,3,5.3,-5.2,0.4,9,,0
PSZCZYNA,2020,1,4,3.6,0.8,1.6,,S,0
PSZCZYNA,2020,1,5,2.3,-2.2,-0.6,9,,2
PSZCZYNA,2020,1,6,1,-4.7,-1.9,9,,1
PSZCZYNA,2020,1,7,3.4,-7.2,-2.8,,W,1
PSZCZYNA,2020,1,8,5.3,-1.4,1.8,,W,1
PSZCZYNA,2020,1,9,7.3,2,4.3,,W,0
PSZCZYNA,2020,1,10,5.7,1.3,3.3,,W,0
PSZCZYNA,2020,1,11,5.4,1.5,3.4,,W,0
PSZCZYNA,2020,1,12,5.8,-1.2,1.8,9,,0
PSZCZYNA,2020,1,13,5.8,0.8,2.7,9,,0
PSZCZYNA,2020,1,14,4.3,-1.5,0.2,9,,0
PSZCZYNA,2020,1,15,6.2,-2.1,0.9,9,,0
PSZCZYNA,2020,1,16,3.7,-1.1,0.5,9,,0
PSZCZYNA,2020,1,17,1.9,-3.6,-0.8,9,,0
PSZCZYNA,2020,1,18,2.7,-0.6,1,,S,0
PSZCZYNA,2020,1,19,2.5,0.8,1.6,,W,0
PSZCZYNA,2020,1,20,3.1,0.2,1.4,9,,0
PSZCZYNA,2020,1,21,2.9,-2,-0.4,9,,0
PSZCZYNA,2020,1,22,0.9,-3,-1.3,,S,0
PSZCZYNA,2020,1,23,4.5,-2.1,0.1,,W,0
PSZCZYNA,2020,1,24,3.3,-6.7,-2.5,9,,0
PSZCZYNA,2020,1,25,1.4,-5.7,-2.5,9,,0
PSZCZYNA,2020,1,26,1.8,-5.6,-2.1,9,,0
PSZCZYNA,2020,1,27,4.6,-2.6,-0.3,9,,0
PSZCZYNA,2020,1,28,6.3,-4.3,1.3,,W,0
PSZCZYNA,2020,1,29,4.9,0.3,2,,S,0
PSZCZYNA,2020,1,30,4.8,0,2.6,,W,0
PSZCZYNA,2020,1,31,10.6,2.6,6.8,9,,0
BRENNA,2020,1,1,9.5,-0.9,2.6,9,,0
BRENNA,2020,1,2,8.6,-2.9,1.5,9,,0
BRENNA,2020,1,3,14.1,-3.3,1.9,9,,0
BRENNA,2020,1,4,8.7,-2.7,3.6,,S,0
BRENNA,2020,1,5,2.6,-3.7,-1,9,,3
BRENNA,2020,1,6,1.4,-5.2,-2.1,9,,3
BRENNA,2020,1,7,4.3,-3.3,-0.7,,W,2
BRENNA,2020,1,8,5.4,-2.3,1.7,,W,2
BRENNA,2020,1,9,7.7,1.8,5,,W,0
BRENNA,2020,1,10,10.1,4,6,9,,0
BRENNA,2020,1,11,9.8,2.1,4.6,,W,0
BRENNA,2020,1,12,9.6,-0.6,3.5,9,,0
BRENNA,2020,1,13,9.3,1.9,4.5,9,,0
BRENNA,2020,1,14,9.1,-0.6,3,9,,0
BRENNA,2020,1,15,9,-0.6,5.1,9,,0
BRENNA,2020,1,16,7,-2.6,2.2,9,,0
BRENNA,2020,1,17,6.7,-0.9,2.7,,W,0
BRENNA,2020,1,18,10.2,-0.2,3.7,,S,0
BRENNA,2020,1,19,6.4,-0.1,2.1,,S,2
BRENNA,2020,1,20,6.1,0.6,2.3,9,,0
BRENNA,2020,1,21,6,-2.7,0.7,9,,0
BRENNA,2020,1,22,2.3,-4.6,-1.1,,S,0
BRENNA,2020,1,23,3.8,-2.1,-0.1,9,,0
BRENNA,2020,1,24,5.1,-2.8,0.1,9,,0
BRENNA,2020,1,25,4.5,-6.5,-2.7,9,,0
BRENNA,2020,1,26,4.5,-7.2,-3,9,,0
BRENNA,2020,1,27,7.2,-5.7,0.4,9,,0
BRENNA,2020,1,28,7.2,1.1,4.4,9,,0
BRENNA,2020,1,29,6.9,1.1,3.2,,W,0
BRENNA,2020,1,30,6.7,0.4,2.9,,W,0
BRENNA,2020,1,31,11,2.3,6.8,,W,0
LALIKI,2020,1,1,0.4,-5.2,-2.5,9,,18
LALIKI,2020,1,2,2.9,-8,-2.7,9,,17
LALIKI,2020,1,3,1.8,-2.8,-0.3,,W,16
LALIKI,2020,1,4,1.8,-2.2,-0.1,,S,15
LALIKI,2020,1,5,-0.6,-4.3,-3,,S,23
LALIKI,2020,1,6,-2.8,-8.8,-6.2,9,,25
LALIKI,2020,1,7,-1,-7.8,-4.5,,W,22
LALIKI,2020,1,8,-0.4,-7.2,-3.2,,W,18
LALIKI,2020,1,9,2.4,-2.2,0.5,,W,17
LALIKI,2020,1,10,1.9,-1.8,0,,W,14
LALIKI,2020,1,11,1.8,-1.2,0.5,,S,13
LALIKI,2020,1,12,1.4,-3.1,-1.4,9,,13
LALIKI,2020,1,13,1.2,-2.5,-0.7,9,,12
LALIKI,2020,1,14,-0.2,-3.4,-2.2,9,,12
LALIKI,2020,1,15,3.2,-5.4,-1.2,9,,12
LALIKI,2020,1,16,3.4,-2.4,0.7,9,,11
LALIKI,2020,1,17,5.1,-3,1.2,9,,10
LALIKI,2020,1,18,3.2,-2.1,0.8,,S,10
LALIKI,2020,1,19,1.6,-2,-0.7,,S,9
LALIKI,2020,1,20,0.1,-1.8,-1,,S,10
LALIKI,2020,1,21,-0.2,-5,-3.2,9,,10
LALIKI,2020,1,22,-1.5,-6,-3.5,,S,9
LALIKI,2020,1,23,-0.8,-4.4,-3,9,,10
LALIKI,2020,1,24,0.2,-6.2,-3.4,9,,10
LALIKI,2020,1,25,1.2,-5.8,-3.2,9,,10
LALIKI,2020,1,26,0.6,-6.8,-3.8,9,,9
LALIKI,2020,1,27,1.6,-5.8,-2.5,9,,9
LALIKI,2020,1,28,3.4,-2.8,0.7,,S,9
LALIKI,2020,1,29,0.2,-2.8,-1.8,,S,10
LALIKI,2020,1,30,0.6,-3,-1.2,,S,18
LALIKI,2020,1,31,3.1,-1.8,1.4,,W,17
JAB£ONKA,2020,1,1,2.1,-6.6,-2.8,9,,8
JAB£ONKA,2020,1,2,-3.2,-13.6,-10,9,,8
JAB£ONKA,2020,1,3,3.9,-14,-5.6,,W,6
JAB£ONKA,2020,1,4,2.2,-0.6,0.7,,S,6
JAB£ONKA,2020,1,5,-0.4,-4.6,-2.8,,S,17
JAB£ONKA,2020,1,6,-1.9,-12,-8.8,9,,15
JAB£ONKA,2020,1,7,0.5,-15.5,-10.1,9,,14
JAB£ONKA,2020,1,8,1.8,-14.5,-5.2,,S,12
JAB£ONKA,2020,1,9,4.1,-1.4,1.2,,W,11
JAB£ONKA,2020,1,10,6.5,-0.4,2.1,,W,9
JAB£ONKA,2020,1,11,2.7,0.4,1.6,,W,8
JAB£ONKA,2020,1,12,4,-6.4,-1.8,9,,6
JAB£ONKA,2020,1,13,3.8,-0.7,0.8,9,,6
JAB£ONKA,2020,1,14,3.5,-3.9,-1.7,9,,5
JAB£ONKA,2020,1,15,6.5,-6.5,-0.9,9,,0
JAB£ONKA,2020,1,16,3,-2.7,-1,9,,0
JAB£ONKA,2020,1,17,-1.1,-4.7,-3,9,,0
JAB£ONKA,2020,1,18,3.8,-4.2,-0.7,,S,0
